School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Nixa,2.37,2.36,4.72,1,1,1
St. Teresa's Academy,2.31,2.14,4.45,2,2,2
Lafayette (Wildwood),2.16,1.99,4.15,3,3,3
Cor Jesu Academy,2.03,1.89,3.93,4,5,4
Lee's Summit West,2.01,1.84,3.84,6,7,5
Liberty,1.95,1.85,3.8,8,6,6
Blue Springs,1.95,1.81,3.76,7,8,7
Park Hill South,2.03,1.73,3.76,5,10,8
Kickapoo,1.8,1.92,3.72,9,4,9
Oakville,1.71,1.8,3.51,11,9,10
Logan-Rogersville,1.71,1.67,3.37,10,11,11
Liberty North,1.69,1.63,3.32,12,14,12
St. Joseph's Academy,1.64,1.65,3.29,13,12,13
Hermann,1.63,1.54,3.18,14,15,14
Eureka,1.52,1.64,3.16,16,13,15
Lindbergh,1.55,1.45,3.0,15,18,16
Advance,1.5,1.46,2.96,17,17,17
Marquette,1.42,1.51,2.94,20,16,18
Jefferson City,1.44,1.44,2.88,18,19,19
St. Dominic,1.4,1.39,2.8,21,20,20
Lee's Summit,1.38,1.34,2.72,22,21,21
Park Hill,1.35,1.3,2.66,23,22,22
Incarnate Word Academy,1.43,1.23,2.66,19,25,23
Rockwood Summit,1.3,1.28,2.58,24,23,24
Northwest (Cedar Hill),1.22,1.26,2.48,32,24,25
Ozark,1.25,1.21,2.47,27,26,26
Francis Howell Central,1.28,1.18,2.46,25,29,27
Branson,1.24,1.19,2.42,28,28,28
Francis Howell,1.22,1.19,2.41,31,27,29
Central (Park Hills),1.27,1.12,2.39,26,32,30
Veritas Christian Academy,1.22,1.14,2.36,30,31,31
Platte County,1.23,1.08,2.31,29,35,32
Blue Springs South,1.1,1.16,2.26,37,30,33
Jackson,1.12,1.09,2.21,35,34,34
Marshfield,1.07,1.11,2.18,39,33,35
St. Pius X (Festus),1.09,1.08,2.17,38,36,36
Valle Catholic,1.15,1.0,2.16,34,40,37
Willard,1.04,1.07,2.11,41,37,38
Odessa,1.03,1.05,2.08,44,38,39
Lee's Summit North,1.18,0.89,2.07,33,50,40
Staley,1.11,0.96,2.07,36,43,41
Timberland,1.03,1.01,2.05,43,39,42
Perryville,1.02,1.0,2.02,45,41,43
Arcadia Valley,1.04,0.97,2.01,42,42,44
Helias Catholic,1.07,0.94,2.01,40,45,45
Nerinx Hall,0.99,0.91,1.91,47,49,46
Visitation Academy,0.99,0.92,1.91,46,46,47
Raymore-Peculiar,0.96,0.87,1.83,48,54,48
Santa Fe,0.88,0.95,1.82,56,44,49
Carthage,0.91,0.89,1.79,52,51,50
St. Michael the Archangel,0.83,0.92,1.75,60,48,51
St. Pius X (Kansas City),0.85,0.89,1.74,57,52,52
Parkway Central,0.84,0.89,1.73,58,53,53
Seckman,0.84,0.87,1.71,59,55,54
Fatima,0.79,0.92,1.7,65,47,55
Woodland,0.89,0.8,1.69,55,57,56
Central (St. Joseph),0.82,0.85,1.67,61,56,57
Lutheran St. Charles,0.92,0.74,1.67,50,64,58
Pattonville,0.93,0.7,1.63,49,72,59
Blair Oaks,0.82,0.8,1.62,63,58,60
Rock Bridge,0.9,0.72,1.62,53,67,61
Maryville,0.92,0.69,1.61,51,73,62
Dexter,0.9,0.69,1.59,54,74,63
Notre Dame (Cape Girardeau),0.82,0.76,1.58,62,63,64
Festus,0.77,0.77,1.54,66,62,65
Liberty (Wentzville),0.73,0.78,1.52,73,60,66
Carl Junction,0.8,0.71,1.51,64,70,67
Parkway South,0.77,0.74,1.5,67,65,68
North Kansas City,0.75,0.72,1.46,70,69,69
Parkway West,0.68,0.78,1.45,78,61,70
Camdenton,0.73,0.72,1.45,72,68,71
Windsor (Imperial),0.66,0.79,1.45,82,59,72
Hickman,0.75,0.68,1.43,69,75,73
Washington,0.72,0.71,1.42,74,71,74
Licking,0.71,0.67,1.38,76,76,75
Orchard Farm,0.76,0.61,1.38,68,86,76
Affton,0.71,0.67,1.38,75,77,77
Troy Buchanan,0.64,0.73,1.37,83,66,78
California,0.7,0.67,1.37,77,78,79
Bernie,0.74,0.58,1.33,71,92,80
Leopold,0.67,0.63,1.3,79,85,81
Winona,0.63,0.65,1.28,85,81,82
Webb City,0.63,0.64,1.26,86,82,83
Mehlville,0.6,0.66,1.26,89,79,84
Westminster Christian Academy,0.61,0.65,1.26,88,80,85
Hillsboro,0.6,0.61,1.21,90,87,86
Skyline,0.67,0.54,1.21,80,98,87
Nevada,0.56,0.64,1.2,96,83,88
Lesterville,0.58,0.63,1.2,93,84,89
Kearney,0.59,0.59,1.17,91,90,90
