School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Advance,1.5,1.46,2.96,1,1,1
Santa Fe,0.88,0.95,1.82,2,2,2
Bernie,0.74,0.58,1.33,3,6,3
Leopold,0.67,0.63,1.3,4,5,4
Winona,0.63,0.65,1.28,5,3,5
Lesterville,0.58,0.63,1.2,6,4,6
Lutheran (Kansas City),0.5,0.56,1.06,7,7,7
Gideon,0.42,0.42,0.84,9,9,8
West Platte,0.41,0.44,0.84,10,8,9
Miller,0.38,0.42,0.8,11,10,10
Bishop LeBlond,0.45,0.31,0.76,8,12,11
Sacred Heart,0.31,0.35,0.66,16,11,12
Eugene,0.36,0.24,0.6,12,16,13
Crest Ridge,0.35,0.25,0.6,13,15,14
Campbell,0.34,0.23,0.57,14,17,15
South Iron,0.32,0.19,0.51,15,19,16
Calvary Lutheran,0.22,0.27,0.49,19,13,17
Bloomfield,0.21,0.26,0.46,20,14,18
St. Joseph Christian,0.31,0.15,0.46,17,21,19
Ellington,0.25,0.19,0.44,18,18,20
Billings,0.18,0.13,0.31,21,23,21
Clarkton,0.09,0.18,0.27,22,20,22
Blue Eye,0.05,0.13,0.18,23,22,23
Meadow Heights,0.04,0.08,0.12,25,24,24
Rock Port,0.01,0.03,0.04,26,25,25
Concordia,0.04,-0.05,-0.01,24,27,26
Green Ridge,0.0,-0.05,-0.05,27,26,27
Lincoln,-0.03,-0.09,-0.12,28,28,28
Midway,-0.07,-0.24,-0.32,29,33,29
Viburnum,-0.2,-0.16,-0.36,32,29,30
North Platte,-0.19,-0.19,-0.38,31,30,31
Crystal City,-0.15,-0.28,-0.43,30,36,32
Wellington-Napoleon,-0.21,-0.21,-0.43,33,31,33
Archie,-0.22,-0.24,-0.45,34,32,34
Bunker,-0.22,-0.25,-0.47,35,34,35
St. Paul Lutheran (Farmington),-0.23,-0.32,-0.55,36,38,36
Holcomb,-0.3,-0.27,-0.57,38,35,37
Eminence,-0.26,-0.39,-0.66,37,40,38
Oak Ridge,-0.3,-0.37,-0.67,39,39,39
Smithton,-0.49,-0.29,-0.78,43,37,40
Osceola,-0.39,-0.48,-0.87,40,42,41
Wheaton,-0.46,-0.53,-0.99,41,44,42
Galena,-0.54,-0.46,-1.0,45,41,43
Northland Christian,-0.46,-0.55,-1.01,42,46,44
Valley,-0.51,-0.59,-1.1,44,47,45
School of the Ozarks,-0.59,-0.54,-1.12,49,45,46
Risco,-0.61,-0.52,-1.13,50,43,47
Crane,-0.55,-0.65,-1.2,46,49,48
North Pemiscot,-0.68,-0.59,-1.27,55,48,49
Nodaway-Holt,-0.63,-0.65,-1.28,51,50,50
Oran,-0.56,-0.74,-1.3,47,56,51
La Monte,-0.56,-0.74,-1.3,48,55,52
Zalma,-0.66,-0.66,-1.32,53,51,53
Richland (Essex),-0.64,-0.7,-1.33,52,52,54
Greenfield,-0.66,-0.73,-1.4,54,54,55
Hurley,-0.76,-0.79,-1.55,58,57,56
McAuley Catholic,-0.74,-0.82,-1.56,57,58,57
Drexel,-0.87,-0.72,-1.59,59,53,58
Liberal,-0.7,-0.92,-1.61,56,63,59
Jasper,-0.94,-0.89,-1.83,62,59,60
Bismarck,-0.95,-0.9,-1.85,64,61,61
Rich Hill,-0.96,-0.91,-1.87,65,62,62
Otterville,-0.91,-0.97,-1.88,61,64,63
Verona,-0.94,-1.03,-1.97,63,69,64
Transportation and Law,-0.91,-1.07,-1.97,60,70,65
Plato,-1.02,-0.97,-1.99,67,65,66
Chadwick,-1.0,-1.0,-2.0,66,66,67
Bell City,-1.1,-0.9,-2.0,71,60,68
Orrick,-1.05,-1.0,-2.05,69,67,69
Southland,-1.07,-1.01,-2.08,70,68,70
Chamois,-1.05,-1.15,-2.19,68,72,71
Thomas Jefferson Independent Day,-1.11,-1.14,-2.25,72,71,72
Delta (Deering),-1.16,-1.24,-2.4,73,74,73
Summersville,-1.25,-1.18,-2.43,78,73,74
Lockwood,-1.21,-1.25,-2.45,75,75,75
Cooter,-1.23,-1.25,-2.48,76,76,76
Chilhowee,-1.2,-1.4,-2.6,74,79,77
Fordland,-1.24,-1.42,-2.66,77,83,78
Golden City,-1.29,-1.41,-2.7,79,81,79
Bradleyville,-1.33,-1.4,-2.72,80,78,80
Northwest (Hughesville),-1.44,-1.41,-2.85,81,82,81
Marquand-Zion,-1.54,-1.32,-2.87,85,77,82
Lakeland,-1.48,-1.4,-2.88,83,80,83
Niangua,-1.44,-1.48,-2.92,82,84,84
Sheldon,-1.62,-1.57,-3.19,87,85,85
Purdy,-1.62,-1.57,-3.19,86,86,86
Kingsville,-1.51,-1.67,-3.19,84,88,87
Hume,-1.66,-1.65,-3.32,89,87,88
Everton,-1.71,-1.7,-3.4,90,89,89
North Nodaway,-1.66,-1.78,-3.45,88,91,90
Northeast Vernon County,-1.75,-1.89,-3.63,91,93,91
Columbia Independent,-1.96,-1.71,-3.67,92,90,92
Hayti,-2.0,-1.82,-3.82,93,92,93
Koshkonong,-2.06,-2.02,-4.08,94,94,94
Exeter,-2.19,-2.07,-4.26,96,95,95
Bronaugh,-2.13,-2.21,-4.34,95,96,96
Miami (Amoret),-2.21,-2.23,-4.44,97,97,97
Ballard,-2.33,-2.34,-4.67,98,98,98
Missouri School for the Deaf,-2.55,-3.11,-5.65,99,99,99
