Date,Home Team,Home Score,Away Team,Away Score
2019-08-27,Ladue Horton Watkins,2,Hazelwood Central,0
2019-08-27,Ladue Horton Watkins,2,Hazelwood East,0
2019-08-27,Camdenton,1,Jefferson City,1
2019-08-27,Marshfield,0,Jefferson City,2
2019-08-27,Savannah,0,Jefferson City,2
2019-08-27,Warsaw,0,Willard,2
2019-08-27,Otterville,0,Willard,2
2019-08-29,Adrian,2,Butler,1
2019-08-29,Pembroke Hill,2,Butler,0
2019-08-29,Drexel,2,Miami (Amoret),0
2019-08-29,Adrian,1,Pembroke Hill,1
2019-08-30,Wright City,0,Battle,2
2019-08-30,Chamois,0,Belle,2
2019-08-30,Winfield,2,Bowling Green,0
2019-08-30,Valley,0,Bunker,2
2019-08-30,Valley Park,1,Cardinal Ritter,2
2019-08-30,Metro,2,Carnahan,0
2019-08-30,Cor Jesu Academy,2,Eureka,1
2019-08-30,Hickman,0,Fatima,2
2019-08-30,Hazelwood West,1,Ft. Zumwalt South,2
2019-08-30,Roosevelt,0,Gateway,2
2019-08-30,Bloomfield,2,Greenville,0
2019-08-30,Ft. Zumwalt East,0,Holt,2
2019-08-30,Fordland,1,Hurley,2
2019-08-30,Oakville,1,Lafayette (Wildwood),2
2019-08-30,Transportation and Law,1,McKinley Classical Leadership,2
2019-08-30,Oak Ridge,0,Meadow Heights,2
2019-08-30,Senath-Hornersville,2,North Pemiscot,0
2019-08-30,Francis Howell North,1,Pattonville,2
2019-08-30,Niangua,0,Purdy,2
2019-08-30,Bernie,2,Richland (Essex),0
2019-08-30,Incarnate Word Academy,2,Ritenour,0
2019-08-30,Spokane,2,School of the Ozarks,0
2019-08-30,Collegiate School of Med-Bio Science,1,Soldan International Studies,0
2019-08-30,Zalma,0,South Iron,2
2019-08-30,Holcomb,2,Southland,0
2019-08-30,Villa Duchesne,2,Ursuline Academy,0
2019-08-30,Miller Career Academy,2,Waynesville,0
2019-08-30,Marquette,2,Washington,0
2019-08-30,Glendale,2,Waynesville,0
2019-08-30,Chadwick,0,Wheaton,2
2019-08-31,Veritas Christian Academy,2,Francis Howell North,0
2019-08-31,Holt,0,Francis Howell North,2
2019-08-31,Webster Groves,0,Francis Howell North,2
2019-08-31,Parkway Central,2,Francis Howell North,0
